id,sex,employment,marital,income,social2
200001,1,employed,1,8068,.63502485
200002,1,employed,1,7484,.52745819
200003,1,employed,0,12388,.84669566
200004,0,employed,1,77288,0
200005,1,employed,1,9978,0
200006,0,employed,1,9039,.53762978
200007,1,student,0,0,.8647784
200008,1,employed,1,6814,.86623126
200009,0,employed,0,58549,0
200010,1,unemployed,1,0,0
200011,1,employed,1,11635,.61648929
200012,1,employed,1,21750,.77888864
200013,1,retired,1,11813,0
200014,1,retired,1,4628,.031755503
200015,1,student,0,7248,.90585935
200016,1,student,0,0,.93008202
200017,0,employed,1,18858,.78578812
200018,0,employed,1,15062,.79332221
200019,1,student,0,0,.94156051
200020,1,student,0,0,.92856848
200021,1,retired,1,37850,0
200022,0,student,0,0,.89082307
200023,1,employed,0,10829,.36834034
200024,1,unemployed,1,0,.070615202
200025,1,employed,0,25617,.80992538
200026,1,employed,1,28276,.20795397
200027,1,student,0,0,.94266993
200028,1,retired,1,8369,0
200029,1,employed,1,13466,.76910275
200030,0,student,0,3256,.40272525
200031,1,employed,1,6850,.66599977
200032,1,student,0,0,.74430728
200033,0,employed,0,7474,.36544484
200034,1,employed,1,16645,0
200035,1,employed,1,28206,.22691543
200036,1,employed,0,14844,.50589669
200037,0,retired,1,38923,.14711332
200038,0,employed,1,4427,0
200039,1,employed,0,5865,0
200040,1,retired,1,4577,0
200041,1,employed,1,5551,.55278677
200042,0,retired,1,4851,.33616382
200043,0,unemployed,0,0,.50768685
200044,1,employed,1,15086,.75818217
200045,1,employed,0,33021,.60100436
200046,1,employed,1,7224,.19547653
200047,1,student,0,6818,.37071612
200048,0,unemployed,1,0,.81183708
200049,1,unemployed,0,42417,.60117453
200050,1,employed,1,16073,.24236491
200051,1,student,0,0,.82791609
200052,0,retired,0,17589,0
200053,1,student,0,10161,.77623808
200054,1,retired,0,11736,0
200055,1,retired,1,3607,.019372081
200056,0,unemployed,1,14738,.77238339
200057,1,student,1,0,0
200058,1,employed,1,13241,.52504462
200059,0,employed,1,6753,.57837027
200060,0,student,0,0,.4705607
200061,1,employed,0,13532,.53061175
200062,0,employed,0,5798,.56565183
200063,1,employed,1,26357,.84867722
200064,1,retired,0,5797,0
200065,1,student,0,0,.64569259
200066,1,employed,1,13302,.71924269
200067,1,retired,0,16948,.38021994
200068,0,unemployed,0,38035,.45774883
200069,1,retired,1,28971,0
200070,0,employed,1,6588,.71553427
200071,1,employed,0,8402,.70390308
